ID,Name,Link,City,Street,Opening,Postcode,Url Location,Wifi,Laptop Friendly,Pet Friendly,Latitude,Longitude
299,Watchhouse Hanover,https://europeancoffeetrip.com/cafe/watchhouse-hanover-london/,London,2-3 Medici Court,Monday - Friday: 07:30-18:00|Saturday: 09:00-18:00|Sunday: 10:00-17:00,W1S 1BR,,,,,51.5137661,-0.14543796666666667
300,Mettricks Portswood,https://europeancoffeetrip.com/cafe/mettricksportswood-southampton/,Southampton,267-271 Portswood Rd,Monday: 08:00-22:00|Tuesday: 08:00-22:00|Wednesday: 08:00-22:00|Thursday: 08:00-23:00|Friday: 08:00-23:00|Saturday: 08:00-23:00|Sunday: 08:00-22:00,SO17 2LA,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.9271119,-1.3908265395752892
301,Pulp Coffee,https://europeancoffeetrip.com/cafe/pulpcoffee-manchester/,Manchester,Hanover St,Monday - Friday: 08:00-15:00|Saturday - Sunday: Closed,M4 4AH,,,Laptop Friendly,Pet Friendly,53.486087016543856,-2.238656005394298
302,Caravan Coffee Roasters At The Office Group 210 Euston,https://europeancoffeetrip.com/cafe/caravancoffeeroasptersofficefroup-london/,London,210 Euston Road,Monday - Friday: 08:00-16:00|Saturday - Sunday: Closed,NW1 2DA,,,,,51.5259966,-0.1353049
303,Host Cafe,https://europeancoffeetrip.com/cafe/host-london/,London,St Mary Aldermary Church Watling St,Monday - Friday: 07:30-16:00|Saturday - Sunday: Closed,EC4M 9BW,,,,,51.5126966,-0.09334793333333334
304,Cairngorm Coffee,https://europeancoffeetrip.com/cafe/cairngormcoffee-Edinburgh/,Edinburgh,1 Melville St,Monday - Friday: 07:00-19:00|Saturday: 07:00-19:00|Sunday: 08:00-19:00,EH3 7PR,,,,,55.9511972,-3.2110863
305,Cartwheel Coffee,https://europeancoffeetrip.com/cafe/cartwheelcoffee-nottingham/,Nottingham,1 Stoney Street Beeston,Monday - Friday: 08:00-17:00|Saturday: 08:00-17:00|Sunday: 09:00-16:00,NG9 2LA,,Free Wi-Fi,Laptop Friendly,Pet Friendly,52.92838736666667,-1.214392075
306,Guillam Coffee House,https://europeancoffeetrip.com/cafe/guillamcoffeehouse-nottinghill-london/,London,26 Notting Hill Gate,Monday - Friday: 07:30-17:00|Saturday: 07:30-18:00|Sunday: 08:30-18:00,W11 3HX,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.509656500000006,-0.19432192082235605
307,Obscure Coffee,https://europeancoffeetrip.com/cafe/obscurecoffee-chestrer/,Chester,66 Lower Bridge Street,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,CH1 1RU,,,,,53.18730737597135,-2.8902619773174516
308,Ocean Bells Cafe,https://europeancoffeetrip.com/cafe/oceanbellscafe-watford/,Watford,133 High Street,Monday - Friday: 08:30-17:00|Saturday: 08:30-18:00|Sunday: 10:00-17:00,WD17 2ER,,,,,51.6539431,-0.3932706
309,92 Degrees,https://europeancoffeetrip.com/cafe/92degrees-manchester/,Manchester,16 John Dalton Street,Monday: 07:30-16:30|Tuesday: 07:30-16:30|Wednesday: 07:30-16:30|Thursday: 07:30-16:30|Friday: 07:30-15:30|Saturday: 09:30-16:30|Sunday: 09:30-16:30,M2 6HY,,,,,53.48033845,-2.2467059866089514
310,Mostro Coffee,https://europeancoffeetrip.com/cafe/mostrocoffee-oxford/,Oxford,101 Cowley Rd.,Monday - Friday: 10:00-18:00|Saturday: 10:00-18:00|Sunday: 10:00-17:00,OX4 1HU,,Free Wi-Fi,,Pet Friendly,51.7484241,-1.2383566842594842
311,Watchhouse Bermondsey,https://europeancoffeetrip.com/cafe/watchhousebermondsey/,London,199 Bermondsey Street,Monday - Friday: 07:00-17:00|Saturday - Sunday: 08:00-18:00,SE1 3UW,,,,,51.49799935,-0.08124041092606447
312,Clerkenwell'S Coffee & Books,https://europeancoffeetrip.com/cafe/clerkenwellsbooks-london/,London,68A Compton Street,Monday - Friday: 08:30-18:00|Saturday - Sunday: Closed,EC1V 0BN,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.52480875164468,-0.10220576319204082
313,Cult Espresso,https://europeancoffeetrip.com/cafe/cultespresso-edinburgh/,Edinburgh,100 Buccleuch St,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,EH8 9NQ,,,,,55.9415745,-3.1837642
314,Nostos Coffee,https://europeancoffeetrip.com/cafe/nostoscoffee-london/,London,10a Battersea Park Road,Monday - Friday: 07:00-17:00|Saturday: 08:00-17:00|Sunday: 08:00-16:00,SW8 4FF,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.4769987,-0.1470389
315,Cleaners & Coffee,https://europeancoffeetrip.com/cafe/cleanerscoffee-london/,London,2 Crowndale Road,Monday - Friday: 08:00-18:00|Saturday: 09:00-17:00|Sunday: Closed,NW1 1TT,,,,,51.53531353439967,-0.13487019807304684
316,Zennor,https://europeancoffeetrip.com/cafe/zennor-glasgow/,Glasgow,354 Duke St.,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-17:00,G31 1RB,,,,,55.8581927,-4.2201095
317,Pot Kettle Black,https://europeancoffeetrip.com/cafe/potkettleblack-manchester/,Manchester,Unit 14 Barton Arcade Deansgate,Monday - Friday: 09:00-16:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,M3 2BW,,,,,53.48229832307692,-2.2467992153846152
318,Birch,https://europeancoffeetrip.com/cafe/birch-iverness/,Inverness,,Monday - Friday: 08:00-16:30|Saturday: 08:00-16:30|Sunday: 09:00-16:30,IV1 1HY,,,,,57.4790124,-4.225739
319,Bond St. Coffee,https://europeancoffeetrip.com/cafe/bondstcoffee-brighton/,Brighton,15 Bond Street,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 10:00-17:00,BN1 1RD,,,,,50.8239852,-0.140126
320,Broche Coffee,https://europeancoffeetrip.com/cafe/brochecoffee-oxford/,Oxford,165 Kingston Rd,Monday - Friday: 08:00-16:00|Saturday: 08:00-17:00|Sunday: 09:00-17:00,OX2 6EG,,Free Wi-Fi,,Pet Friendly,51.7627167,-1.268332429757282
321,Forts,https://europeancoffeetrip.com/cafe/forts-margate/,Margate,8 Cliff Terrace,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,CT9 1RU,,,,,51.3917868,1.3894069
322,Local Hero,https://europeancoffeetrip.com/cafe/localhero-london/,London,640 Fulham Rd Fulham,Monday - Friday: 07:30-15:30|Saturday - Sunday: 08:00-16:00,SW6 5RT,,,,,51.47564357156952,-0.20583811380879002
323,Fed 303,https://europeancoffeetrip.com/cafe/fed303-bristol/,Bristol,Gloucester Road 303,Monday - Friday: 08:30-16:00|Saturday: 08:30-16:00|Sunday: 09:00-16:00,BS7 8PE,,,,,51.48064245,-2.5883097400187367
324,Climpson & Sons Cafe,https://europeancoffeetrip.com/cafe/slimpsonandsonsCafe-london/,London,67 Broadway Market,Monday - Friday: 07:00-17:00|Saturday: 08:30-17:00|Sunday: 09:00-17:00,E8 4PH,,,,,51.5374627,-0.06131279391673665
325,Saint Nine Coffee,https://europeancoffeetrip.com/cafe/saintninecoffee-london/,London,67 Southwark Street,Monday: 07:30-16:00|Tuesday: 07:30-16:30|Wednesday: 07:30-16:30|Thursday: 07:30-16:30|Friday: 08:00-14:00|Saturday: Closed|Sunday: Closed,SE1 0HX,,,,,51.50524715,-0.09861233936950078
326,Formative Coffee,https://europeancoffeetrip.com/cafe/formativecoffee-london/,London,4 Butler Place,Monday - Friday: 07:30-17:00|Saturday - Sunday: 09:00-16:00,SW1H 0RH,,,,Pet Friendly,51.49787395,-0.13550453227686926
327,Lowdown,https://europeancoffeetrip.com/cafe/lowdowncoffee-edinburgh/,Edinburgh,40 George St,Monday - Friday: 09:30-17:30|Saturday: 09:30-17:30|Sunday: 10:00-17:30,EH2 2LE,,,,Pet Friendly,55.9531915,-3.1979567
328,Artisan Roast Leith Walk,https://europeancoffeetrip.com/cafe/artisanroast-leithwalk-edinburgh/,Edinburgh,72-74 Leith Walk,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:30-16:00,EH6 5HB,,,,Pet Friendly,55.9694125,-3.1730481
329,Williams & Johnson Coffee Co.,https://europeancoffeetrip.com/cafe/williamsandjohnsoncoffee-edinburg/,Edinburgh,CUSTOM LANE 1 Customs Wharf Leith,Monday - Friday: 08:00-16:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,EH6 6AL,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.97689,-3.17047
330,Bake Street,https://europeancoffeetrip.com/cafe/Bakestreet-london/,London,58 Evering Rd,Monday: Closed|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-16:00|Saturday: 09:00-16:00|Sunday: 09:00-16:00,N16 7SR,,,,,51.5587256,-0.0666732
331,St Kilda,https://europeancoffeetrip.com/cafe/stkildacafe-tunbridgewells/,Tunbridge Wells,20 Camden Rd,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-15:00,TN1 2PT,,Free Wi-Fi,Laptop Friendly,,51.13468512445909,0.26739760169797305
332,Artisan Coffee School,https://europeancoffeetrip.com/cafe/artisancoffeeschool-london/,London,32 New Broadway,Monday - Friday: 07:30-16:00|Saturday: 08:00-16:00|Sunday: 08:30-16:00,W5 2XA,,,,,51.51323385,-0.30677709999999947
333,Marmalade,https://europeancoffeetrip.com/cafe/marmalade-brighton/,Brighton,237 Eastern Rd,Monday - Friday: 07:30-19:00|Saturday: 07:30-19:00|Sunday: 08:00-18:00,BN2 5JJ,,,,,50.8174152,-0.11156919228681084
334,Yallah Café,https://europeancoffeetrip.com/cafe/yallahcafe-stives/,St Ives,Wharf Road,Monday - Friday: Closed|Saturday - Sunday: 09:00-15:00,TR26 1LF,,,,,50.21358485250286,-5.479871497654097
335,Kiosk On Lapwing,https://europeancoffeetrip.com/cafe/kiosk-manchester/,Manchester,99a Lapwing Ln,Monday: 08:00-15:00|Tuesday: 08:00-15:00|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-16:00|Saturday: 09:00-16:00|Sunday: 09:00-16:00,M20 6UT,,,,,53.42349420971893,-2.2347004474261265
336,Friends Of Ours,https://europeancoffeetrip.com/cafe/friendsofours-london/,London,61 Pitfield St,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:30,N1 6BU,,,,,51.5291071,-0.0837546
337,House Of Koko,https://europeancoffeetrip.com/cafe/houseofkoko-leeds/,Leeds,Harrogate Road 62,Monday - Friday: 09:00-16:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,LS7 4LA,,,,,53.8264376,-1.5349464
338,Kin Cafe,https://europeancoffeetrip.com/cafe/kincafe-london/,London,22 Foley Street,Monday - Friday: 08:30-22:30|Saturday - Sunday: 09:30-22:30,W1W 6DT,,,,,51.5193422,-0.1403461
339,Southsea Coffee,https://europeancoffeetrip.com/cafe/southseacoffee-portsmouth/,Portsmouth,63 Osborne Road,Monday - Friday: 08:30-15:00|Saturday - Sunday: 08:30-15:00,PO5 3LS,,,,,50.7850444,-1.0903103
340,Espressobase Speciality Coffee,https://europeancoffeetrip.com/cafe/espressobasespecialtycoffee-london/,London,St Georges Court Bloomsbury Way,Monday: Closed|Tuesday: 10:30-16:00|Wednesday: 10:30-16:00|Thursday: 10:30-16:00|Friday: 10:30-16:00|Saturday: Closed|Sunday: Closed,WC1A 2SE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.5174499,-0.12496
341,Wired Co,https://europeancoffeetrip.com/cafe/wiredco-london/,London,194 Broadhurst Gardens,Monday: 07:30-17:00|Tuesday: 07:30-17:00|Wednesday: 07:30-17:00|Thursday: 07:30-21:30|Friday: 07:30-21:30|Saturday: 08:30-21:30|Sunday: 08:30-17:00,NW6 3AY,,,,,51.5465015,-0.1904104
342,Brunswick East,https://europeancoffeetrip.com/cafe/BrunswickEast-london/,London,Gillett Street,Monday - Friday: 08:30-17:00|Saturday - Sunday: 09:00-17:00,N16 8JH,,,,,51.54893195,-0.07706605
343,Gramos Coffee Bar (Underground),https://europeancoffeetrip.com/cafe/gramos-london/,London,King's Cross Underground Station Northern Ticket Hall,Monday - Friday: 07:00-19:00|Saturday: 08:00-20:00|Sunday: 09:00-17:00,N1 9AL,,Free Wi-Fi,Laptop Friendly,Pet Friendly,,
344,Bean & Cole,https://europeancoffeetrip.com/cafe/beanandcole-chester/,Chester,41 Frodsham St,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,CH1 3JJ,,,,,53.1925955,-2.8887356
345,Kofra,https://europeancoffeetrip.com/cafe/kofra-bell-norwich/,Norwich,1 Bell Road,Monday - Friday: 07:30-16:30|Saturday: 07:30-16:30|Sunday: 08:30-16:30,NR3 4RA,,,,,52.64323965,1.3006191166402528
346,Crankhouse Coffee,https://europeancoffeetrip.com/cafe/crankhousecoffee-exeter/,Exeter,Basement 130 Fore St,Monday - Friday: 08:00-16:00|Saturday: 09:00-16:00|Sunday: Closed,EX4 3EQ,,,,,,
347,Fika,https://europeancoffeetrip.com/cafe/fika-norwich/,Norwich,25 Wensum Street,Monday - Friday: 08:00-14:00|Saturday - Sunday: Closed,NR3 1LA,,Free Wi-Fi,,Pet Friendly,52.63273485,1.2975268727392795
348,Rondor Coffee,https://europeancoffeetrip.com/cafe/rondorcoffee-london/,London,1-3 Heatman’s Rd,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-15:00,SW6 4TW,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.47402,-0.20096
349,Ropes & Twines,https://europeancoffeetrip.com/cafe/ropesandtwines-liverpool/,Liverpool,70 Bold St,Monday: 10:00-18:00|Tuesday: 10:00-18:00|Wednesday: 10:00-18:00|Thursday: 10:00-18:00|Friday: 10:00-23:00|Saturday: 10:00-23:00|Sunday: 10:00-18:00,L1 4HR,,,,,53.403025,-2.9786141886326645
350,Papercup Coffee Company,https://europeancoffeetrip.com/cafe/papercupcoffeecompany-glasgow/,Glasgow,603 Great Western Rd,Monday - Friday: 09:00-17:00|Saturday - Sunday: 09:00-17:00,G12 8HX,,,,,55.8763307,-4.2853282
351,Caora Dhubh,https://europeancoffeetrip.com/cafe/caoradhubh-carbost/,Carbost, Isle of Skye,Monday: 10:00-15:00|Tuesday: Closed|Wednesday: 10:00-15:00|Thursday: 10:00-15:00|Friday: 10:00-15:00|Saturday: Closed|Sunday: Closed,IV47 8SR,,,,,57.301769283333336,-6.355187666666667
352,Thomson'S Gallowgate,https://europeancoffeetrip.com/cafe/thomsonsgallowgate-glasgow/,Glasgow,196-200 Gallowgate,Monday - Friday: 08:00-16:00|Saturday - Sunday: 08:00-16:00,G1 5DR,,,,,55.85600755832586,-4.241246587546581
353,Laboratorio Espresso,https://europeancoffeetrip.com/cafe/laboratorioespresso-glasgow/,Glasgow,93 West Nile Street,Monday - Friday: 08:00-17:30|Saturday: 09:00-17:30|Sunday: 10:30-17:30,G1 2SH,,,,,55.8631864,-4.2547772
354,Basekamp,https://europeancoffeetrip.com/cafe/basekamp-swansea/,Swansea,Kings Ln ,Monday - Friday: 09:00-16:00|Saturday - Sunday: 09:00-17:00,SA1 2AQ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.62307832377935,-3.941553068658753
355,Watchhouse Fetter Lane,https://europeancoffeetrip.com/cafe/watchhousefetterlane-london/,London,92 Fetter Lane,Monday: 07:30-17:00|Tuesday: 07:30-17:00|Wednesday: 07:30-17:00|Thursday: 07:30-17:00|Friday: 07:30-16:00|Saturday: Closed|Sunday: Closed,EC4A 1EP,,,,,51.51675835,-0.10926684291373209
356,Darkroom Espresso,https://europeancoffeetrip.com/cafe/darkroomespresso-swindon/,Swindon,11 Faringdon Road,Monday - Friday: 07:30-17:00|Saturday: 08:30-17:00|Sunday: 10:00-16:00,SN1 5AR,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.5616882,-1.7887384
357,Qima Cafe,https://europeancoffeetrip.com/cafe/qimacafe-london/,London,21 Warren Street,Monday - Friday: 08:00-19:00|Saturday: 08:00-19:00|Sunday: 09:00-17:00,W1T 5LT,,Free Wi-Fi,,Pet Friendly,51.5239378,-0.1398741908211531
358,Florence Road Cafe (By Skylark Coffee),https://europeancoffeetrip.com/cafe/florenceroadcafe-brighton/,Brighton,Florence Road,Monday: Closed|Tuesday: 08:30-16:00|Wednesday: 08:30-16:00|Thursday: 08:30-16:00|Friday: 08:30-16:00|Saturday: 09:30-13:30|Sunday: Closed,BN1 6DL,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.83814826522449,-0.13711289227371726
359,Nude Espresso Roastery,https://europeancoffeetrip.com/cafe/nudeespressoroastery-london/,London,25 Hanbury Street,Monday - Friday: 08:00-19:00|Saturday - Sunday: 09:30-18:00,E1 6QR,,,,,51.52029216838202,-0.07375431693335903
360,Godshot Studio,https://europeancoffeetrip.com/cafe/godshotstudio-glasgow/,Glasgow,1143 Pollokshaws Road,Monday: 10:00-17:00|Tuesday: 09:00-17:00|Wednesday: 09:00-17:00|Thursday: 09:00-17:00|Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-17:00,G41 3YH,,,,,55.83038735,-4.28105495
361,Homeground Coffee + Kitchen,https://europeancoffeetrip.com/cafe/homegroundcoffee-windermere/,Windermere,"Main Rd,",Monday - Friday: 08:30-16:30|Saturday - Sunday: 09:00-17:00,LA23 1DX,,,,,54.37848502753316,-2.9063642214545395
362,Saddle London,https://europeancoffeetrip.com/cafe/saddle-london/,London,7 Montpelier St,Monday - Friday: 09:00-22:00|Saturday - Sunday: 09:00-22:00,SW7 1EX,,Free Wi-Fi,,,51.4989922,-0.1658375
363,Laynes Espresso,https://europeancoffeetrip.com/cafe/laynesespresso-leeds/,Leeds,16 New Station Street,Monday: 07:30-21:00|Tuesday: 07:30-21:00|Wednesday: 07:30-21:00|Thursday: 07:30-21:00|Friday: 07:30-22:00|Saturday: 08:00-22:00|Sunday: 09:00-16:00,LS1 5DL,,,,,53.7952673,-1.5451618
364,Mother Espresso,https://europeancoffeetrip.com/cafe/motherespresso-liverpool/,Liverpool,82 Wood Street,Monday: 08:00-19:00|Tuesday: 08:00-19:00|Wednesday: 08:00-19:00|Thursday: 08:00-22:00|Friday: 08:00-22:00|Saturday: 09:00-19:00|Sunday: 10:00-18:00,L1 4DQ,,,,,53.4024108,-2.9781643622183385
365,Broadway Coffee Roasters,https://europeancoffeetrip.com/cafe/broadwaycoffeeroasters-portsmouth/,Portsmouth,147 Highland Road,Monday - Friday: 07:30-14:00|Saturday - Sunday: 08:30-14:00,PO4 9EY,,,,,50.787006,-1.0640699
366,Interlude Coffee,https://europeancoffeetrip.com/cafe/interludecoffee-bristol/,Bristol,145 St. Michael’s Hill,Monday - Friday: 07:30-16:00|Saturday - Sunday: Closed,BS2 8DB,,,Laptop Friendly,Pet Friendly,51.46084095,-2.6020654134062733
367,Kra:Ft Koffee,https://europeancoffeetrip.com/cafe/kraft-wakefield/,Wakefield,12 Wood St ,Monday: 08:00-15:00|Tuesday: 08:00-15:00|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-00:00|Saturday: 08:00-00:00|Sunday: 10:00-15:00,WF1 2ED,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.6832656,-1.4994286
368,Stomping Ground Coffee,https://europeancoffeetrip.com/cafe/stompinggroundcoffee-stockport/,Stockport,15 Shaw Rd ,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,SK4 4AG,,Free Wi-Fi,Laptop Friendly,Pet Friendly,53.42308875,-2.1850347315228715
369,Lantana Cafe Fitzrovia,https://europeancoffeetrip.com/cafe/lantanacafefitzrovia-london/,London,13 Charlotte Place,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,W1T 1SN,,,,,51.518966,-0.1359553189576484
370,Ground Kemptown,https://europeancoffeetrip.com/cafe/groundcoffeehouse-brighton/,Brighton,80 Saint George's Road,Monday - Friday: 07:30-15:30|Saturday: 08:00-15:30|Sunday: 08:00-15:00,BN2 1EF,,,,,50.817618881818184,-0.11807115454545454
371,Wa Cafe,https://europeancoffeetrip.com/cafe/wacafe-london/,London,32 Haven Green,Monday - Friday: 08:00-18:00|Saturday: 08:30-18:00|Sunday: 09:30-18:00,W5 2NX,,,,,51.5159044,-0.3020404
372,The Wren,https://europeancoffeetrip.com/cafe/thewren-london/,London,114 Queen Victoria Street,Monday - Friday: 07:00-16:30|Saturday - Sunday: Closed,EC4V 4BJ,,,,,51.5120907,-0.0969782
373,Mancoco,https://europeancoffeetrip.com/cafe/mancoco-manchester/,Manchester,84 Hewitt Street,Monday - Friday: 07:30-16:00|Saturday - Sunday: 09:00-17:00,M15 4GB,,,,,53.47394563561287,-2.249857506853573
374,White Mulberries,https://europeancoffeetrip.com/cafe/whitemulberries-london/,London,"D3 Ivory House St Katharine Docks,",Monday - Friday: 07:30-17:00|Saturday: 07:30-18:00|Sunday: 08:00-17:00,E1W 1AT,,,,,51.50726774615384,-0.07136058461538461
375,Rough Hands Coffee,https://europeancoffeetrip.com/cafe/roughhandscoffee-stroud/,Stroud,32 Five valleys shopping centre,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:30-16:00,GL5 1RR,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.7462763,-2.21881032
376,Sawyer And Gray,https://europeancoffeetrip.com/cafe/sawyerandgray-london/,London,290 Saint Paul's Road,Monday: Closed|Tuesday: Closed|Wednesday: 08:00-15:00|Thursday: 08:00-15:00|Friday: 08:00-15:00|Saturday: 09:00-16:00|Sunday: 09:00-16:00,N1 2LH,,,,,50.703436136550486,-1.285489256266567
377,Sage Grocers,https://europeancoffeetrip.com/cafe/sagegrocers-worthing/,Worthing,2 Gratwicke Rd,Monday: 09:00-15:00|Tuesday: Closed|Wednesday: 09:00-16:00|Thursday: 09:00-16:00|Friday: 09:00-16:00|Saturday: 09:00-17:00|Sunday: Closed,BN11 4BH,,,,Pet Friendly,50.81076576341043,-0.37812039564592215
378,The Potions We Brew,https://europeancoffeetrip.com/cafe/thepotionswebrew-steyningupperbeeding/,Steyning-Upper Beeding,Hyde Square Upper Beeding,Monday: Closed|Tuesday: Closed|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 08:00-16:00,BN44 3JE,,,,Pet Friendly,50.8831501,-0.2999947
379,Odd Kin,https://europeancoffeetrip.com/cafe/odd-kin-bristol/,Bristol,45 Whiteladies Road,Monday - Friday: 07:30-16:00|Saturday - Sunday: 08:00-17:00,BS8 2LS,,,,,51.4616118,-2.608279872518382
380,Lodestar Coffee,https://europeancoffeetrip.com/cafe/lodestarcoffee-london/,London,163 Clarence Road,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-13:00|Thursday: Closed|Friday: 08:00-16:00|Saturday: 08:30-15:30|Sunday: Closed,E5 8EE,,Free Wi-Fi,,Pet Friendly,51.55525135,-0.05622965874413152
381,Prufrock Coffee,https://europeancoffeetrip.com/cafe/prufrockcoffee-london/,London,23-25 Leather Ln,Monday - Friday: 07:30-16:30|Saturday - Sunday: 09:00-17:00,EC1N 7TE,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.5199496,-0.1095201
382,Full Court Press,https://europeancoffeetrip.com/cafe/fullcourtpress-bristol/,Bristol,59 Broad St,Monday - Friday: 08:00-17:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,BS1 2EJ,,,,Pet Friendly,51.455183149999996,-2.5932309491859207
383,Origin Coffee Roasters,https://europeancoffeetrip.com/cafe/origincoffeeroasters-london/,London,65 Charlotte Rd,Monday - Friday: 08:00-16:00|Saturday - Sunday: 09:00-16:00,EC2A 3PE,,,,,51.52544127716338,-0.08111427965035974
384,Chancery Press,https://europeancoffeetrip.com/cafe/chancerypress-london/,London,81 Chancery Lane,Monday: 07:30-16:00|Tuesday: 07:30-16:30|Wednesday: 07:30-16:30|Thursday: 07:30-16:30|Friday: 07:30-16:00|Saturday: Closed|Sunday: Closed,WC2A 1DD,,,,,51.5152691,-0.1115373
385,Fold Coffee,https://europeancoffeetrip.com/cafe/foldcoffee-kendal/,Kendal,Unit 12 Beezon Road Trading Estate,Monday - Friday: 07:30-14:30|Saturday - Sunday: 08:30-14:30,LA9 6BW,,Free Wi-Fi,Laptop Friendly,Pet Friendly,54.33271785,-2.7429556649999998
386,Urban Baristas Warmwood,https://europeancoffeetrip.com/cafe/urbanbaristaswarmwood-london/,London,22-24 Wormwood Street,Monday: 07:00-17:00|Tuesday: 07:00-17:00|Wednesday: 07:00-17:00|Thursday: 07:00-17:00|Friday: 07:00-15:00|Saturday: 08:00-17:00|Sunday: 08:00-17:00,EC2M 1RP,,,,,51.51637005,-0.08229514870448186
388,Unorthodox Roasters,https://europeancoffeetrip.com/cafe/unorthodoxroasters-stirling/,Stirling,12 Friars St  FK8 1HA ,Monday - Friday: 09:30-16:30|Saturday - Sunday: 09:30-16:30,FK8 1HA,,,,,56.11921,-3.93803
389,The Press Room,https://europeancoffeetrip.com/cafe/thepressroom-london/,London,29  Road,Monday - Friday: 07:30-17:00|Saturday: 09:00-17:00|Sunday: 09:00-16:00,TW1 3SZ,,,,,51.44460925,-0.3473157582822085
390,Hinba Coffee Roasters,https://europeancoffeetrip.com/cafe/hinba-oban/,Oban,62 George St ,Monday - Friday: 08:00-17:00|Saturday - Sunday: 08:00-17:00,PA34 5SD,,,,,56.4147471,-5.4724715
391,Momentum Coffee,https://europeancoffeetrip.com/cafe/momentumcoffee-tunbridgewells/,Tunbridge Wells,40 Mount Pleasant Road,Monday - Friday: 07:30-17:00|Saturday: 08:30-17:00|Sunday: 09:00-17:00,TN1 1RB,,,,,51.131660111804834,0.2633864406437906
392,Coffee Dispensary,https://europeancoffeetrip.com/cafe/coffeedispensary-cheltenham/,Cheltenham,18 Regent Street,Monday - Friday: 09:00-17:30|Saturday: 09:00-17:30|Sunday: 10:00-16:30,GL50 1HE,,,,,51.89912405,-2.0757785504394457
393,Urban Baristas Bounds Green Rd,https://europeancoffeetrip.com/cafe/urbanbaristasboundsgreenrd-london/,London,Bounds Green Road,Monday - Friday: 06:30-15:00|Saturday - Sunday: 07:30-15:00,N11 2EU,,,,,51.60755585,-0.12562355
394,Norsk,https://europeancoffeetrip.com/cafe/norsk-haddenham/,Haddenham,7 Fort End,Monday: Closed|Tuesday: Closed|Wednesday: 07:30-16:00|Thursday: 07:30-16:00|Friday: 07:30-16:00|Saturday: 09:00-16:00|Sunday: 09:00-14:00,HP17 8EJ,,,,,51.77302855946714,-0.928415826503671
395,Journey Social,https://europeancoffeetrip.com/cafe/journeysocial-lancaster/,Lancaster,28 New Street,Monday - Friday: 09:00-17:00|Saturday: 09:00-17:00|Sunday: 09:30-16:00,LA1 1EG,,,,,54.04907435,-2.802174302649359
396,Urban Baristas Devon House,https://europeancoffeetrip.com/cafe/urbanbaristasdevonhouse-london/,London,Saint Katharine's Way,Monday: 08:00-16:00|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-15:00|Saturday: Closed|Sunday: Closed,E1W 1JP,,,,,51.50621550231561,-0.07113909789267332
398,Doc Coffee,https://europeancoffeetrip.com/cafe/doccoffee-eastbourne/,Eastbourne,10 Grove Road,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: Closed,BN21 4TJ,,Free Wi-Fi,Laptop Friendly,Pet Friendly,50.7686996,0.27987361304596625
